org_id,org_name,students,address,grades
PS068,Charlotte Central School,412,"408 HINESBURG ROAD, CHARLOTTE, VT, 05445","elementary, middle"
PS069,Chelsea Elementary Middle School,131,"6 SCHOOL ST, CHELSEA, VT, 05038","elementary, middle"
PS070,Chester Andover Elementary School,292,"72 MAIN STREET, CHESTER, VT, 05143",elementary
PS071,Clarendon Elementary School,169,"84 GRANGE HALL RD, NORTH CLARENDON, VT, 05759",elementary
PS072,Colchester High School,636,"PO BOX 900, COLCHESTER, VT, 05446",high
PS073,Colchester Middle School,496,"425 BLAKELY ROAD, COLCHESTER, VT, 05446","elementary, middle"
PS074,Concord Graded/Middle School,117,"173 SCHOOL STREET, CONCORD, VT, 05824","elementary, middle"
PS077,Coventry Village School,148,"PO BOX 92, COVENTRY, VT, 05825","elementary, middle"
PS078,Craftsbury Schools,197,"1422 NORTH CRAFTSBURY ROAD, CRAFTSBURY COMM, VT, 05827","elementary, middle, high"
PS391,Crossett Brook Middle School,284,"5672 VT ROUTE 100, DUXBURY, VT, 05676","elementary, middle"
PS079,Currier Memorial Union School,90,"234 NORTH MAIN ST, DANBY, VT, 05739",elementary
PS082,Danville School,375,"148 PEACHAM ROAD, DANVILLE, VT, 05828","elementary, middle, high"
PS084,Derby Elementary School,444,"907 ELM STREET, DERBY LINE, VT, 05830",elementary
PS085,Dorset School,175,"130 SCHOOL DRIVE, DORSET, VT, 05251","elementary, middle"
PS378,Dothan Brook School,267,"2300 CHRISTIAN STREET, WHITE RIVER JCT, VT, 05001",elementary
PS357,Doty Memorial School,84,"24 CALAIS RD, WORCESTER, VT, 05682",elementary
PS086,Dover Elementary School,95,"9 SCHOOLHOUSE ROAD, EAST DOVER, VT, 05341",elementary
PS087,Dummerston Schools,165,"52 SCHOOLHOUSE ROAD, EAST DUMMERSTON, VT, 05346","elementary, middle"
PS091,East Montpelier Elementary School,222,"VINCENT FLATS RD, EAST MONTPELIER, VT, 05651",elementary
PS093,Eden Central School,150,"140 KNOWLES FLAT RD, EDEN, VT, 05652",elementary
PS094,Edmunds Elementary School,295,"299 MAIN STREET, BURLINGTON, VT, 05401",elementary
PS095,Edmunds Middle School,407,"275 MAIN STREET, BURLINGTON, VT, 05401","elementary, middle"
PS277,Elm Hill School,360,"10 HOOVER STREET, SPRINGFIELD, VT, 05156",elementary
PS096,Enosburg Falls Elementary School,278,"PO BOX 510, ENOSBURG FALLS, VT, 05450",elementary
PS098,Enosburg Falls Junior/Senior High School,426,"SCHOOL STREET, BOX 417, ENOSBURG FALLS, VT, 05450","elementary, middle, high"
PS099,Essex Elementary School,536,"1 BIXBY HILL ROAD, ESSEX JUNCTION, VT, 05452",elementary
PS388,Essex High School,1248,"2 EDUCATIONAL LANE, ESSEX JUNCTION, VT, 05452",high
PS101,Essex Middle School,421,"60 FOUNDERS RD, ESSEX JUNCTION, VT, 05452","elementary, middle"
PS103,Fair Haven Grade School,355,"103 N.MAIN STREET, FAIR HAVEN, VT, 05743","elementary, middle"
PS104,Fair Haven Union High School,362,"33 MECHANIC STREET EXTENSION, FAIR HAVEN, VT, 05743",high
PS105,Fairfield Center School,260,"57 PARK STREET, FAIRFIELD, VT, 05455","elementary, middle"
PS107,Fayston Elementary School,96,"782 GERMAN FLATS ROAD, FAYSTON, VT, 05673",elementary
PS108,Ferrisburgh Central School,157,"56 LITTLE CHICAGO ROAD, FERRISBURGH, VT, 05456",elementary
PS109,Fisher School,201,"504 EAST ARLINGTON RD, ARLINGTON, VT, 05250",elementary
PS110,Fletcher Elementary School,119,"340 SCHOOL ROAD, CAMBRIDGE, VT, 05444",elementary
PS111,Flood Brook School,325,"91 VT ROUTE 11, LONDONDERRY, VT, 05148","elementary, middle"
PS112,Folsom Education and Community Center,129,"75 SOUTH STREET, SOUTH HERO, VT, 05486","elementary, middle"
PS113,Founders Memorial School,419,"33 FOUNDERS RD, ESSEX JUNCTION, VT, 05452",elementary
PS115,Franklin Central School,144,"15 SCHOOL ST, FRANKLIN, VT, 05457",elementary
PS273,Frederick H Tuttle Middle School,569,"500 DORSET STREET, S BURLINGTON, VT, 05403","elementary, middle"
PS117,Georgia Elementary/Middle School,682,"4416 ETHAN ALLEN HIGHWAY, ST ALBANS, VT, 05478","elementary, middle"
PS118,Glover Community School,121,"100 SCHOOL STREET, GLOVER, VT, 05839","elementary, middle"
PS120,Grafton Elementary School,66,"MAIN STREET, GRAFTON, VT, 05146",elementary
PS122,Grand Isle Elementary School,156,"224 US RTE 2, GRAND ISLE, VT, 05458","elementary, middle"
PS124,Green Mountain Union High School,318,"716 VT RTE 103 SOUTH, CHESTER, VT, 05143","middle, high"
PS385,Green Street School,227,"164 GREEN STREET, BRATTLEBORO, VT, 05301",elementary
PS128,Guilford Central School,137,"374 SCHOOL ROAD, GUILFORD, VT, 05301",elementary
PS129,Halifax School,68,"BRANCH ROAD, WEST HALIFAX, VT, 05358","elementary, middle"
PS131,Hardwick Elementary School,242,"MAIN STREET, HARDWICK, VT, 05843",elementary
PS134,Hartford High School,484,"37 HIGHLAND AVENUE, WHITE RIVER JCT, VT, 05001",high
PS135,Hartford Memorial Middle School,315,"245 HIGHLAND AVENUE, WHITE RIVER JCT, VT, 05001","elementary, middle"
PS137,Hartland Elementary School,285,"97 MARTINSVILLE ROAD, HARTLAND, VT, 05048","elementary, middle"
PS138,Harwood Union High School,472,"458 VT ROUTE 100, DUXBURY, VT, 05660",high
PS393,Harwood Union Middle School,134,,middle
PS139,Hazen UHSD #26,285,"NORTH MAIN ST, HARDWICK, VT, 05843","middle, high"
PS141,Hiawatha School,207,"34 HIAWATHA AVENUE, ESSEX JUNCTION, VT, 05452",elementary
PS142,Highgate Schools,307,"PO BOX 163, HIGHGATE CENTER, VT, 05459",elementary
PS143,Hinesburg Community School,593,"10888 RT 116, HINESBURG, VT, 05461","elementary, middle"
PS144,Holland Elementary School,44,,elementary
PS145,Hyde Park Elementary School,237,"50 EAST MAIN STREET, HYDE PARK, VT, 05655",elementary
PS337,Integrated Arts Academy At HO Wheeler,291,"4 DEBRA DRIVE, ESSEX JUNCTION, VT, 05452",elementary
PS147,Irasburg Village School,140,"292 VT-58, IRASBURG, VT, 05845","elementary, middle"
PS148,Isle La Motte Elementary School,28,"534 SCHOOL ST, ISLE LAMOTTE, VT, 05463",elementary
PS154,J F Kennedy Elementary School,486,"70 NORMAND STREET, WINOOSKI, VT, 05404",elementary
PS155,J J Flynn School,340,"1645 NORTH AVENUE, BURLINGTON, VT, 05401",elementary
PS149,Jamaica Village School,63,"347 DEPOT ST, JAMAICA, VT, 05343",elementary
PS374,Jay/Westfield Joint School,85,"257 REVOIR FLATS RD, JAY, VT, 05859",elementary
PS152,Jericho Elementary School,322,"90 VT RTE 15, JERICHO, VT, 05465",elementary
PS153,Johnson Elementary School,264,"57 COLLEGE HILL, JOHNSON, VT, 05656",elementary
PS267,Killington Elementary School,98,"686 SCHOOL HOUSE ROAD, KILLINGTON, VT, 05751",elementary
PS156,Lake Elmore School,13,"PO BOX 122, LAKE ELMORE, VT, 05657",elementary
PS157,Lake Region UHSD #24,364,"317 LAKE REGION ROAD, ORLEANS, VT, 05860",high
PS126,Lakeview USD #43,67,"189 LAURENDON AVE, GREENSBORO, VT, 05841",elementary
PS158,Lamoille Union High School,481,"736 VT ROUTE 15 WEST, HYDE PARK, VT, 05655",high
PS404,Lamoille Union Middle School,257,"736 VT ROUTE 15 WEST, HYDE PARK, VT, 05655",middle
PS161,Leland and Gray UHSD #34,273,"PO BOX 128, TOWNSHEND, VT, 05353","middle, high"
PS162,Lincoln Community School,130,"795 EAST RIVER RD, LINCOLN, VT, 05443",elementary
PS165,Lothrop School,204,"3447 US ROUTE 7, PITTSFORD, VT, 05763",elementary
PS166,Lowell Graded School,109,"52 GELO PARK ROAD, LOWELL, VT, 05847","elementary, middle"
PS167,Ludlow Elementary School,109,"45 MAIN STREET, LUDLOW, VT, 05149",elementary
PS168,Lunenburg & Gilman Schools,144,"2720 RIVER ROAD, GILMAN, VT, 05904","elementary, middle"
PS169,Lyman C Hunt Middle School,409,"1364 NORTH AVENUE, BURLINGTON, VT, 05401","elementary, middle"
PS170,Lyndon Town School,534,"2591 LILY POND ROAD, LYNDONVILLE, VT, 05851","elementary, middle"
PS173,Main Street School,366,"170 MAIN STREET, MONTPELIER, VT, 05602","elementary, middle"
PS174,Malletts Bay School,483,"BLAKELY RD, COLCHESTER, VT, 05446",elementary
PS175,Manchester Elementary/Middle School,420,"PO BOX 1526, MANCHESTER CTR, VT, 05255","elementary, middle"
PS176,Marion W Cross School,318,"22 CHURCH STREET, NORWICH, VT, 05055",elementary
PS177,Marlboro Elementary School,97,"PO BOX D, MARLBORO, VT, 05344","elementary, middle"
PS392,Mettawee Community School,189,"5788 VT ROUTE 153, WEST PAWLET, VT, 05775",elementary
PS179,Middlebury ID #4 School,538,"201 MARY HOGAN DRIVE, MIDDLEBURY, VT, 05753",elementary
PS180,Middlebury Union High School,530,"73 CHARLES AVENUE, MIDDLEBURY, VT, 05753",high
PS366,Middlebury Union Middle School,271,"48 DEERFIELD LANE, MIDDLEBURY, VT, 05753",middle
PS182,Middletown Springs Elementary School,66,"PO BOX 1267, MIDDLETOWN SPR, VT, 05757",elementary
PS183,Mill River Union High School,429,"2321 MIDDLE ROAD, NORTH CLARENDON, VT, 05759","middle, high"
PS184,Millers Run Union High School,121,"3249 ROUTE 122, SHEFFIELD, VT, 05866","elementary, middle"
PS140,Milton Elementary School,833,"42 HERRICK AVENUE, MILTON, VT, 05468",elementary
PS185,Milton Middle School,341,"17 REBECCA LANDER DRIVE, MILTON, VT, 05468","elementary, middle"
PS186,Milton Senior High School,474,"17 REBECCA LANDER DRIVE, MILTON, VT, 05468",high
PS187,Missisquoi Valley UHSD #7,795,"100 THUNDER BIRD DRIVE, SWANTON, VT, 05488","middle, high"
PS188,Molly Stark School,525,"181 ORCHARD STREET, BENNINGTON, VT, 05201",elementary
PS189,Monkton Central School,167,"1036 MONKTON ROAD, NO FERRISBURG, VT, 05473",elementary
